,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
0,Slim Fit Herringbone Casual Shirt,4,125 Ratings,â‚¹1494,(35% OFF),Short Sleeves,Slim Fit,Spread Collar
1,Pure Cotton Textured Self Design Slim Fit Opaque Casual Shirt,4.4,44 Ratings,â‚¹989,(45% OFF),Long Sleeves,Slim Fit,Spread Collar
2,The Lifestyle Co Men Light Blue Solid Regular Fit Chambray Casual Shirt,4.1,6.8k Ratings,â‚¹614,(59% OFF),Long Sleeves,Regular Fit,Spread Collar
3,Highlander Men Checked Slim Fit Shirt,4.3,2.2k Ratings,â‚¹413,(77% OFF),Long Sleeves,Slim Fit,Spread Collar
4,Men Classic Tartan Checks Opaque Checked Casual Shirt,,,â‚¹989,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
5,Classic Self Design Spread Collar Casual Shirt,4.4,12.6k Ratings,â‚¹759,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
6,Men Navy Blue Magenta Pink Regular Fit Checked Casual Shirt,4.2,13.4k Ratings,â‚¹588,(69% OFF),Long Sleeves,Regular Fit,Spread Collar
7,Men Double Pocket Oversized Ombre Dyed Shirt,,,â‚¹1019,(66% OFF),Long Sleeves,Oversized,Spread Collar
8,Highlander Men Dusty Checked Slim Fit Shirt,4.4,1.2k Ratings,â‚¹467,(74% OFF),Long Sleeves,Slim Fit,Spread Collar
9,Men White Slim Fit Solid Casual Shirt,4.2,9.6k Ratings,â‚¹395,(67% OFF),Long Sleeves,Slim Fit,Spread Collar
10,Men Classic Tartan Checks Opaque Checked Casual Shirt,,,â‚¹1199,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
11,Men White Slim Fit Casual Shirt,4.2,22.5k Ratings,â‚¹329,(70% OFF),Long Sleeves,Slim Fit,Mandarin Collar
12,Men White Classic Regular Fit Cotton Casual Shirt,4.2,14.8k Ratings,â‚¹531,(62% OFF),Long Sleeves,Regular Fit,Spread Collar
13,Men Spread Collar Graphic Printed Cotton Oversized Casual Shirt,4.2,31 Ratings,â‚¹971,(46% OFF),Short Sleeves,Oversized,Spread Collar
14,Men Blue & White Slim Fit Striped Casual Shirt,4.3,38.7k Ratings,â‚¹512,(Rs. 1587 OFF),Long Sleeves,Slim Fit,Button-Down Collar
15,Men White & Teal Blue Slim Fit Striped Casual Shirt,4.1,46.1k Ratings,â‚¹682,(61% OFF),Long Sleeves,Slim Fit,Spread Collar
16,Men Alias-N Regular Fit Spread Collar Shirt,4,50 Ratings,â‚¹2727,(38% OFF),Long Sleeves,Regular Fit,Spread Collar
17,Men Navy Blue & Off White Slim Fit Printed Casual Shirt,4.3,18.3k Ratings,â‚¹699,(65% OFF),Short Sleeves,Slim Fit,Mandarin Collar
18,Abstract Printed Slim Fit Casual Shirt,4.2,468 Ratings,â‚¹699,(65% OFF),Long Sleeves,Slim Fit,Spread Collar
19,Men Button-Down Collar Micro Checked Cotton Casual Shirt,4.8,16 Ratings,â‚¹1079,(46% OFF),Long Sleeves,Regular Fit,Button-Down Collar
20,Slim Fit Long Sleeves Spread Collar Casual Shirt,4.2,855 Ratings,â‚¹759,(62% OFF),Long Sleeves,Slim Fit,Spread Collar
21,Men Pack Of 2 Sustainable Shirts,4.2,9.8k Ratings,â‚¹923,(56% OFF),Long Sleeves,Slim Fit,Spread Collar
22,Men Striped Spread Collar Casual Shirt,4.4,56 Ratings,â‚¹935,(48% OFF),Long Sleeves,Regular Fit,Spread Collar
23,India Slim Checked Drop-Shoulder Sleeves Pure Cotton Oversized Casual Shirt,4.3,1.6k Ratings,â‚¹935,(48% OFF),Long Sleeves,Oversized,Spread Collar
24,Classic Pure Cotton Casual Shirt,4.1,231 Ratings,â‚¹899,(82% OFF),Long Sleeves,Regular Fit,Spread Collar
25,Men Spread Collar Textured Casual Shirt,,,â‚¹989,(55% OFF),Long Sleeves,Regular Fit,Spread Collar
26,Self Design Corduroy Weave Oversized Casual Shirt,4.4,995 Ratings,â‚¹767,(68% OFF),Long Sleeves,Oversized,Cuban Collar
27,Men Navy Blue & Red Checked Casual Shirt,4.2,5.7k Ratings,â‚¹599,(70% OFF),Long Sleeves,Regular Fit,Button-Down Collar
28,Men New Spread Collar Vertical Striped Cotton Slim Fit Casual Shirt,,,â‚¹819,(59% OFF),Long Sleeves,Slim Fit,Spread Collar
29,Men Cream-Coloured & Navy Blue Tartan Checked Shirt,4.2,31.5k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
30,Men Standard Opaque Checked Casual Shirt,4.2,2k Ratings,â‚¹899,(Rs. 1500 OFF),Long Sleeves,Regular Fit,Spread Collar
31,Men Tartan Checks Opaque Checked Casual Shirt,4.1,101 Ratings,â‚¹1079,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
32,Men White Slim Fit Casual Cotton Linen Shirt,4,2k Ratings,â‚¹399,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
33,Men Opaque Casual Shirt,3.9,24 Ratings,â‚¹791,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
34,Men Spread Collar Tartan Checked Cotton Relaxed Fit Casual Shirt,4,201 Ratings,â‚¹1079,(46% OFF),Long Sleeves,Relaxed Fit,Spread Collar
35,Men Pink & White Slim Fit Striped Casual Shirt,4.3,38.7k Ratings,â‚¹639,(68% OFF),Long Sleeves,Slim Fit,Button-Down Collar
36,Spread Collar Slim Fit Corduroy Casual Shirt,4.2,428 Ratings,â‚¹699,(65% OFF),Long Sleeves,Slim Fit,Spread Collar
37,Men Opaque Casual Shirt,4.1,14 Ratings,â‚¹1187,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
38,Geometric Printed Slim Fit Opaque Casual Shirt,4.3,2.9k Ratings,â‚¹799,(60% OFF),Long Sleeves,Slim Fit,Spread Collar
39,Men Slim Fit Opaque Striped Casual Shirt,4.3,780 Ratings,â‚¹639,(68% OFF),Long Sleeves,Slim Fit,Mandarin Collar
40,Men Spread Collar Solid Casual Shirt,3.4,19 Ratings,â‚¹1079,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
41,Men White Slim Fit Printed Casual Shirt,4.2,6.9k Ratings,â‚¹391,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
42,The Lifestyle Co Pure Cotton Casual Shirts,4.1,1.1k Ratings,â‚¹699,(65% OFF),Long Sleeves,Regular Fit,Spread Collar
43,Men Spread Collar Tartan Checked Casual Shirt,4.2,388 Ratings,â‚¹935,(48% OFF),Long Sleeves,Regular Fit,Spread Collar
44,Men Standard Checked Casual Shirt,4.4,700 Ratings,â‚¹791,(67% OFF),Long Sleeves,Regular Fit,Button-Down Collar
45,Grey Slim Fit Textured Opaque Casual Shirt,4.3,546 Ratings,â‚¹799,(60% OFF),Long Sleeves,Slim Fit,Spread Collar
46,Classic Tartan Checked Cotton Casual Shirt,,,MRPâ‚¹ 2999,,Long Sleeves,Regular Fit,Spread Collar
47,White Slim Fit Striped Short Sleeves Cotton Casual Shirt,4.2,3k Ratings,â‚¹781,(66% OFF),Short Sleeves,Slim Fit,Cuban Collar
48,Men Black & Blue Regular Fit Checked Casual Shirt,4.3,1.3k Ratings,â‚¹689,(54% OFF),Long Sleeves,Regular Fit,Spread Collar
49,Men Classic Tartan Checks Opaque Checked Casual Shirt,,,â‚¹989,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
50,Men Tartan Checks Opaque Checked Casual Shirt,4.4,45 Ratings,â‚¹1151,(36% OFF),Long Sleeves,Regular Fit,Spread Collar
51,Men Grey Slim Fit Faded Cotton Casual Shirt,4.2,2.2k Ratings,â‚¹431,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
52,Men Navy Blue Slim Fit Casual Shirt,4.2,4k Ratings,â‚¹550,(71% OFF),Short Sleeves,Slim Fit,Spread Collar
53,Spread Collar Plum Classic Slim Fit Satin Casual Shirt,4.4,39 Ratings,â‚¹1049,(30% OFF),Long Sleeves,Slim Fit,Spread Collar
54,Men Classic Oversized Fit Spread Collar Textured Cotton Casual Shirt,,,â‚¹949,(50% OFF),Long Sleeves,Oversized,Spread Collar
55,Men Black & Grey Slim Fit Checked Casual Shirt,4.1,16.6k Ratings,â‚¹649,(Rs. 1000 OFF),Long Sleeves,Slim Fit,Spread Collar
56,Men Standard Opaque Casual Pure Cotton Shirt,4.1,4.1k Ratings,â‚¹699,(Rs. 500 OFF),Long Sleeves,Regular Fit,Spread Collar
57,Long Sleeves Zip Log Cotton Casual Shirt,3.6,38 Ratings,â‚¹1599,(20% OFF),Long Sleeves,Regular Fit,Spread Collar
58,Men Spread Collar Tartan Checked Casual Shirt,4.3,59 Ratings,â‚¹899,(50% OFF),Long Sleeves,Regular Fit,Spread Collar
59,Men Black Slim Fit Faded Denim Shirt,4.2,7.2k Ratings,â‚¹611,(66% OFF),Long Sleeves,Slim Fit,Spread Collar
60,Men Cream-Coloured & Black Shepherd Checked Casual Shirt,4.2,31.5k Ratings,â‚¹682,(61% OFF),Long Sleeves,Regular Fit,Spread Collar
61,Vertical Stripe Cotton Summer Shirt,4.3,41 Ratings,â‚¹1295,(28% OFF),Long Sleeves,Slim Fit,Spread Collar
62,Men Cuban Collar Floral Printed Oversized Casual Shirt,,,â‚¹971,(46% OFF),Short Sleeves,Oversized,Cuban Collar
63,Men Teal Blue & White Slim Fit Striped Casual Shirt,4.3,5.9k Ratings,â‚¹626,(67% OFF),Long Sleeves,Slim Fit,Mandarin Collar
64,Men Blue & White Slim Fit Checked Casual Shirt,4.1,2.5k Ratings,â‚¹402,(77% OFF),Long Sleeves,Slim Fit,Spread Collar
65,Manhattan Slim Fit Checked Pure Cotton Casual Shirt,,,â‚¹1679,(30% OFF),Long Sleeves,Slim Fit,Button-Down Collar
66,Men Premium Button-Down Collar Solid Cotton Casual Shirt,3.9,14 Ratings,MRPâ‚¹ 2990,,Long Sleeves,Regular Fit,Button-Down Collar
67,The Lifestyle Co Men Green Solid Pure Cotton Regular Fit Casual Shirt,4,664 Ratings,â‚¹734,(51% OFF),Long Sleeves,Regular Fit,Spread Collar
68,Blue Slim Fit Vertical Striped Cotton Casual Shirt,4,575 Ratings,â‚¹659,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
69,Men Classic Spread Collar Tartan Checked Cotton Casual Shirt,,,â‚¹911,(43% OFF),Long Sleeves,Regular Fit,Spread Collar
70,Men Premium Button-Down Collar Solid Cotton Casual Shirt,3.9,14 Ratings,MRPâ‚¹ 2990,,Long Sleeves,Regular Fit,Button-Down Collar
71,Men Yellow Comfort Checked Regular Fit Casual Shirt,4.2,31.5k Ratings,â‚¹594,(66% OFF),Long Sleeves,Regular Fit,Spread Collar
72,Men Black & White Buffalo Checks Checked Cotton Casual Shirt,4.2,11.9k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
73,Manhattan Slim Fit Striped Button-Down Collar Pure Cotton Casual Shirt,,,â‚¹1609,(30% OFF),Long Sleeves,Slim Fit,Button-Down Collar
74,Men Double Pocket Shirt,4,45 Ratings,â‚¹1019,(66% OFF),Long Sleeves,Regular Fit,Spread Collar
75,Men Standard Opaque Casual Pure Cotton Shirt,4.1,4.1k Ratings,â‚¹671,(44% OFF),Long Sleeves,Regular Fit,Spread Collar
76,Green & Rust Slim Fit Tartan Checks Casual Shirt,4.1,3.4k Ratings,â‚¹650,(69% OFF),Long Sleeves,Slim Fit,Spread Collar
77,Men turquoise Blue Slim Fit Pure Cotton Casual Shirt,4.2,5.3k Ratings,â‚¹899,(Rs. 1300 OFF),Long Sleeves,Slim Fit,Spread Collar
78,Men Classic Slim Fit Opaque Casual Shirt,3.8,26 Ratings,â‚¹1104,(35% OFF),Long Sleeves,Slim Fit,Button-Down Collar
79,Men Comfort Opaque Casual Shirt,4.4,53 Ratings,â‚¹683,(64% OFF),Long Sleeves,Regular Fit,Spread Collar
80,Men Striped Pure Cotton Casual Shirt,4.3,38.7k Ratings,â‚¹639,(68% OFF),Long Sleeves,Regular Fit,Button-Down Collar
81,Men Blue & White Slim Fit Striped Sustainable Casual Shirt,4.4,1.2k Ratings,â‚¹644,(57% OFF),Long Sleeves,Slim Fit,Mandarin Collar
82,Premium Slim Fit Button-Down Collar Long Sleeves Cotton Casual Shirt,4,5 Ratings,MRPâ‚¹ 4590,,Long Sleeves,Slim Fit,Button-Down Collar
83,Men Purple Pure Cotton Solid Opaque Casual Shirt,4.1,4.4k Ratings,â‚¹519,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
84,Men White Pure Cotton Abstract Printed Casual Shirt,4.2,8.1k Ratings,â‚¹554,(63% OFF),Long Sleeves,Regular Fit,Spread Collar
85,Men Premium Opaque Solid Casual Shirt,,,â‚¹3192,(20% OFF),Long Sleeves,Regular Fit,Spread Collar
86,Men Slim Fit Casual Shirt,4.2,25 Ratings,â‚¹1097,(39% OFF),Long Sleeves,Slim Fit,Button-Down Collar
87,Men Navy Blue & Brown Slim Fit Checked Casual Shirt,4.1,1.9k Ratings,â‚¹367,(79% OFF),Long Sleeves,Slim Fit,Spread Collar
88,Men Maroon & Black Checked Pure Cotton Casual Shirt,4.3,10.4k Ratings,â‚¹701,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
89,Men Classic Slim Fit Opaque Casual Shirt,5,5 Ratings,â‚¹1097,(39% OFF),Long Sleeves,Slim Fit,Button-Down Collar
90,Men Premium Button-Down Collar Solid Cotton Casual Shirt,4,17 Ratings,MRPâ‚¹ 3990,,Long Sleeves,Regular Fit,Button-Down Collar
91,Men Standard Pure Cotton Casual Shirt,4.1,4.1k Ratings,â‚¹699,(Rs. 700 OFF),Long Sleeves,Regular Fit,Spread Collar
92,Grey Classic Slim Fit Cotton Casual Shirt,4.1,257 Ratings,â‚¹599,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
93,Premium Full Sleeve Striped Slim Fit Shirt,,,â‚¹3672,(20% OFF),Long Sleeves,Slim Fit,Spread Collar
94,Premium Opaque Chested Pocket Casual Shirt,,,MRPâ‚¹ 4990,,Long Sleeves,Regular Fit,Spread Collar
95,Men Green Slim Fit Solid Casual Shirt,4.1,3.1k Ratings,â‚¹296,(73% OFF),Short Sleeves,Slim Fit,Mandarin Collar
96,Men Navy Blue & Green Checked Casual Shirt,4.3,12.1k Ratings,â‚¹623,(52% OFF),Long Sleeves,Regular Fit,Spread Collar
97,Men Classic Long Sleeve Slim Fit Casual Shirt,,,â‚¹1097,(39% OFF),Long Sleeves,Slim Fit,Button-Down Collar
98,Premium Abstract Printed Twill Cotton Casual Shirt,,,MRPâ‚¹ 3990,,Short Sleeves,Regular Fit,Spread Collar
99,Men Pink Solid Long Roll-Up Sleeves Slim Fit Casual Shirt,4.2,1.7k Ratings,â‚¹399,(80% OFF),Long Sleeves,Slim Fit,Button-Down Collar
100,Men Blue & White Slim Fit Checked Casual Shirt,4.2,2.4k Ratings,â‚¹559,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
101,Men Classic Slim Fit Opaque Casual Shirt,,,â‚¹824,(50% OFF),Long Sleeves,Slim Fit,Cutaway Collar
102,Premium Slim Fit Textured Self Design Button-Down Collar Cotton Casual Shirt,,,MRPâ‚¹ 3990,,Long Sleeves,Slim Fit,Button-Down Collar
103,Men Mauve Regular Fit Solid Sustainable Casual Shirt,4.2,3.5k Ratings,â‚¹539,(55% OFF),Long Sleeves,Regular Fit,Spread Collar
104,Men Standard Opaque Casual Pure Cotton Shirt,4.1,4.1k Ratings,â‚¹671,(44% OFF),Long Sleeves,Regular Fit,Spread Collar
105,Spread Collar Cotton Casual Shirt,3.9,42 Ratings,â‚¹1999,(20% OFF),Long Sleeves,Regular Fit,Spread Collar
106,Classic Tartan Checked Cotton Casual Shirt,,,â‚¹989,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
107,Men Black & White Checked Pure Cotton Casual Shirt,4.3,28.3k Ratings,â‚¹614,(59% OFF),Long Sleeves,Regular Fit,Mandarin Collar
108,The Men Blue & White Printed Pure Cotton Casual Shirt,4.2,650 Ratings,â‚¹713,(58% OFF),Long Sleeves,Regular Fit,Spread Collar
109,Men Classic Slim Fit Cotton Casual Shirt,3.8,24 Ratings,â‚¹1104,(35% OFF),Long Sleeves,Slim Fit,Button-Down Collar
110,Men Self Design Floral Cuban Collar Oversized Smart Casual Shirt,,,â‚¹1224,(65% OFF),Short Sleeves,Oversized,Cuban Collar
111,Highlander Men White Popcorn Textured Solid Cuabn Collar Shirt,4.4,25 Ratings,â‚¹407,(76% OFF),Short Sleeves,Relaxed Fit,Cuban Collar
112,Brown Ethnic Motifs Printed Cuban Collar Slim Fit Casual Shirt,4.4,1.1k Ratings,â‚¹593,(67% OFF),Short Sleeves,Slim Fit,Cuban Collar
113,Classic Slim Fit Spread Collar Satin Casual Shirt,4.3,360 Ratings,â‚¹1049,(30% OFF),Long Sleeves,Slim Fit,Spread Collar
114,Men Classic Slim Fit Opaque Casual Shirt,,,â‚¹899,(40% OFF),Long Sleeves,Slim Fit,Mandarin Collar
115,Men Checked Pure Cotton Shirt,4.4,430 Ratings,â‚¹588,(69% OFF),Long Sleeves,Regular Fit,Spread Collar
116,Men Beige Slim Fit Solid Casual Shirt,4.1,2.6k Ratings,â‚¹559,(68% OFF),Long Sleeves,Slim Fit,Cutaway Collar
117,Men India Spread Collar Micro Ditsy Printed Cotton Slim Fit Casual Shirt,,,â‚¹1749,(50% OFF),Long Sleeves,Slim Fit,Spread Collar
118,Men Classic Opaque Casual Shirt,,,â‚¹944,(10% OFF),Long Sleeves,Regular Fit,Button-Down Collar
119,Men Black Pure Cotton Casual Shirt,4.3,2.8k Ratings,â‚¹531,(62% OFF),Long Sleeves,Regular Fit,Band Collar
120,Stripe Flex Opaque Striped Casual Shirt,3.4,19 Ratings,â‚¹584,(Rs. 815 OFF),Short Sleeves,Relaxed Fit,Cuban Collar
121,Men Striped Pure Cotton Casual Shirt,4.3,42 Ratings,â‚¹749,(70% OFF),Long Sleeves,Regular Fit,Spread Collar
122,Men Classic Tartan Checked Casual Shirt,4.4,563 Ratings,â‚¹594,(65% OFF),Long Sleeves,Regular Fit,Spread Collar
123,Tartan Checks Button-Down Collar Long Sleeves Slim Fit Cotton Casual Shirt,3.9,61 Ratings,â‚¹479,(80% OFF),Long Sleeves,Slim Fit,Button-Down Collar
124,Pure Cotton Manhattan Slim Fit Button-Down Collar Striped Casual Shirt,,,â‚¹1679,(30% OFF),Long Sleeves,Slim Fit,Button-Down Collar
125,Black Classic Floral Printed Spread Collar Casual Shirt,3.8,361 Ratings,â‚¹664,(65% OFF),Long Sleeves,Regular Fit,Spread Collar
126,Men Black & Maroon Regular Fit Checked Casual Shirt,4.2,705 Ratings,â‚¹519,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
127,Men Relaxed Fit Pure Cotton Casual Shirt,4.1,33 Ratings,â‚¹727,(72% OFF),Long Sleeves,Relaxed Fit,Spread Collar
128,Men Solid Opaque Casual Shirt,4,216 Ratings,â‚¹594,(65% OFF),Long Sleeves,Regular Fit,Button-Down Collar
129,Men Blue Solid Washed Cotton Denim Shirt,4.1,5.3k Ratings,â‚¹611,(64% OFF),Long Sleeves,Regular Fit,Spread Collar
130,Men Standard Mandarin Collar Solid Cotton Slim Fit Casual Shirt,,,â‚¹959,(60% OFF),Long Sleeves,Slim Fit,Mandarin Collar
131,Tartan Checks Printed Cotton Slim Fit Casual Shirt,3.7,691 Ratings,â‚¹671,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
